Participant ID,Nouns/Predicates,TrialNEW,List,Nr,Condition,PredType,AnswerType,Word1,Word2,Rating
1,Nouns,1,3,8,4,A,DiffSubj,minister,dief,-216
1,Nouns,2,1,3,3,A,DiffPred,psycholoog,psycholoog,300
1,Nouns,3,4,1,4,A,DiffPred,redacteur,redacteur,300
1,Nouns,4,3,3,2,A,DiffSubj,machinist,conducteur,54
1,Nouns,5,3,2,3,A,DiffPred,dirigent,dirigent,300
1,Nouns,6,1,3,3,A,DiffPred,kind,kind,300
1,Nouns,7,4,8,1,A,DiffPred,stalker,stalker,300
1,Nouns,8,4,8,3,A,DiffPred,leraar,leraar,300
1,Nouns,9,1,3,3,A,DiffSubj,psycholoog,kind,-153
1,Nouns,10,3,2,1,A,DiffSubj,gitarist,zanger,63
1,Nouns,11,1,1,3,A,DiffPred,inspecteur,inspecteur,300
1,Nouns,12,3,8,1,A,DiffPred,chirurg,chirurg,300
1,Nouns,13,4,8,1,A,DiffPred,crimineel,crimineel,300
1,Nouns,14,2,1,1,A,DiffSubj,meisje,jongen,-147
1,Nouns,15,1,1,3,A,DiffSubj,slachtoffer,inspecteur,-126
1,Nouns,16,4,3,1,A,Opposite,koning,hertog,96
1,Nouns,17,2,3,1,A,DiffPred,koning,koning,300
1,Nouns,18,4,2,4,A,DiffPred,meester,meester,300
1,Nouns,19,1,7,4,A,DiffPred,gijzelaar,gijzelaar,300
1,Nouns,20,1,1,1,A,DiffSubj,moeder,vader,72
1,Nouns,21,3,7,3,A,DiffSubj,orthodontist,gijzelaar,-255
1,Nouns,22,3,7,2,A,DiffPred,goochelaar,goochelaar,300
1,Nouns,23,2,1,1,A,DiffPred,jongen,jongen,300
1,Nouns,24,3,7,2,A,DiffSubj,goochelaar,acrobaat,-54
1,Nouns,25,4,8,1,A,DiffSubj,stalker,crimineel,84
1,Nouns,26,1,6,2,A,DiffSubj,prinses,prins,123
1,Nouns,27,1,1,3,A,DiffPred,slachtoffer,slachtoffer,300
1,Nouns,28,4,7,4,A,DiffPred,moordenaar,moordenaar,300
1,Nouns,29,2,6,4,A,DiffPred,kapper,kapper,300
1,Nouns,30,4,1,4,A,DiffPred,schrijver,schrijver,300
1,Nouns,31,2,7,4,A,DiffSubj,moordenaar,activist,-171
1,Nouns,32,2,3,1,A,DiffPred,hertog,hertog,300
1,Nouns,33,3,3,2,A,DiffSubj,conducteur,machinist,135
1,Nouns,34,2,8,4,A,DiffSubj,leraar,verpleegster,-105
1,Nouns,35,2,3,4,A,DiffSubj,smid,piraat,-264
